,count,mean,std,min,25%,50%,75%,max
close,143208.0,32.46416394335521,99.2524234584704,0.6,9.39,16.255000000000003,30.16,4764.06
return,143208.0,1.2753994811742349,11.327849842695693,-65.4206,-4.141325,0.3403,5.3334,193.0617
volume_shares,143208.0,81.47347913524384,228.00525661167507,0.0,5.0,19.0,69.0,11811.0
volume_dollar,143208.0,3766.317538126362,19004.00578030709,0.0,99.0,453.0,2217.0,1597542.0
market_value,143208.0,44081.07322914921,378182.1625440435,33.0,2691.75,6579.0,18048.0,29433652.0
pb,143208.0,1.7093522009943662,2.6532136917102247,0.0,0.89,1.28,1.94,308.61
ps,143208.0,3.276266828668851,31.598890741804468,0.0,0.64,1.2,2.36,4447.6
dividend_yield,143208.0,4.026466189039748,3.615066577578954,0.0,1.16,3.78,5.91,74.87
f_net,143208.0,4.605455002513826,2720.2383981835205,-128897.0,-31.0,0.0,49.0,131731.0
i_net,143208.0,7.520382939500586,827.5120408456289,-106433.0,0.0,0.0,0.0,81476.0
d_net,143208.0,0.5232319423495894,467.844516913749,-42284.0,-2.0,0.0,1.0,27202.0
t_net,143208.0,12.648727724708117,2863.236403114345,-140112.0,-43.0,0.0,56.0,147528.0
mkt_rp,143208.0,0.8813029914530269,5.116354211162895,-18.9231,-1.865,1.1601,3.3108,14.7201
rf,143208.0,1.36788461538619,0.49895118489864737,0.77,1.045,1.355,1.575,2.71
mkt_pf,143208.0,0.9952957264958989,5.109125683823914,-18.6973,-1.751,1.2981500000000001,3.4716,14.8305
size_rp,143208.0,0.349285470085496,2.883965038652578,-10.0622,-1.4533,0.21365,2.0436,8.3924
bm_rp,143208.0,0.2192923076923338,3.1570674896043407,-9.7069,-1.6973,-0.03895,2.0887,15.203
div_rp,143208.0,0.2586277777777754,2.593221829275276,-13.9836,-1.1992,0.2137,1.6731,7.7384
pe_rp,143208.0,0.21443290598287307,2.59666961881335,-12.4835,-1.3322,0.396,1.9805,7.1058
